case,route,CX_control_cancelled,CX_conservative,allocated_qubits,M,A_CX,price_sensitivity,deterministic_allowance
D1,reflection,36469403102,354203646982,55,128,8412708,17.51853287222251,0.4547374356095953
D1,raw_matched_parent,658467218787,5638261566513,2754,1024,18917901,248.4340565884181,0.09895017060178676
D1,residual,104719289723,893945932501,4733,128,24149637,31.05425707355226,0.10296484386504934
D1,raw_best,458928511243,3929199363049,2314,1024,13184525,248.4340565884181,0.10284620107076944
D2,reflection,1101392680835,10555616671767,103,512,63331046,42.70387565661456,0.600397296204273
D2,raw_matched_parent,2643233541099,22635882987169,3191,2048,37964541,496.8681131768362,0.17532919498203733
D2,residual,375312500844,3209213488374,5162,256,43196209,62.10851414710452,0.20538903965072822
D2,raw_best,1843424312811,15784372872929,2687,2048,26476261,496.8681131768362,0.19044329676811933
