source,case,arm,layout,width,fraction_bits,degree,reductions,status,deterministic_upper,ae_size,a_calls,conservative_cx,control_cancelled_cx,a_qubits,total_qubits
residual,D1,signed_residual,reused,48,24,8,3,ideal_plan,0.10402158607688629175129664748027007641833033838115640012773134504745993538897207,128,4335,1048481216917,122815170107,2460,4925
residual,D1,signed_residual,reused,48,24,12,1,ideal_plan,0.10295597923363012073542269555971732846840480906677400870230972408524914493280365,128,4335,1048880175637,122861780027,2460,4925
residual,D1,signed_residual,reused,48,24,12,2,ideal_plan,0.10328171398885809479265823997392926063553027302708889865021608585434003895086499,128,4335,1126147817845,131909720219,2508,5021
residual,D1,signed_residual,reused,48,24,12,3,ideal_plan,0.10402158595981603597915782402374317881191636005290892104343187625556610409112255,128,4335,1203415460053,140957660411,2556,5117
residual,D1,signed_residual,reused,48,24,16,1,ideal_plan,0.10295600567959535028436161474837431356154981417734875947044799890977055571028634,128,4335,1048880175637,122861780027,2460,4925
residual,D1,signed_residual,reused,48,24,16,2,ideal_plan,0.10328171400065977709717741148122065265499046462811335205049551622988349228796078,128,4335,1126147817845,131909720219,2508,5021
residual,D1,signed_residual,reused,48,24,16,3,ideal_plan,0.10402158595982166187838541795987060375647585604306066094102780164086522131026872,128,4335,1203415460053,140957660411,2556,5117
residual,D2,signed_residual,reused,48,24,8,1,ideal_plan,0.20538903965072820877223085911042173463158364863925404126078110201048177349783143,256,8687,3209213488374,375312500844,2578,5162
residual,D2,signed_residual,reused,48,24,8,2,ideal_plan,0.20332731450177931598611502739855699518604898078568861520203200352831347902981604,256,8687,3519428103894,411573982284,2626,5258
residual,D2,signed_residual,reused,48,24,8,3,ideal_plan,0.20468470851680325967308493390066493707333419433287339128949481059492700575836381,256,8687,3829642719414,447835463724,2674,5354
residual,D2,signed_residual,reused,48,24,12,1,ideal_plan,0.20309024032363575084157346839984331874733251612230624105212417165369529300329430,256,8687,3831244468662,448022268972,2674,5354
