p,n,stored_mean_delta,mean_absolute_bs_error,mean_reference_bs_gap
0.0,50,0.20333426867724405,0.3038373718448423,0.24081229320020758
0.0001,50,0.2201537203771003,0.2890592547328378,0.24081229320020758
0.001,50,0.6569509365883388,0.751565099449055,0.24081229320020758
0.005,50,3.478249556087322,3.5960891651069558,0.24081229320020758
0.01,50,6.162819094296784,6.304171444224397,0.24081229320020758
