pt_idx,S0,K,T,r,sigma,ref_source,p,sim_price,ref_price,delta,oracle_queries
1,80.0,105.0,0.25,0.05,0.25,grid,0,0.1453281890945928,0.13258216494475755,0.01274602414983525,19
1,80.0,105.0,0.25,0.05,0.25,grid,0.0001,0.13501109247927895,0.13258216494475755,0.0024289275345213968,11
1,80.0,105.0,0.25,0.05,0.25,grid,0.001,0.36802543378533786,0.13258216494475755,0.2354432688405803,13
1,80.0,105.0,0.25,0.05,0.25,grid,0.005,0.7621440244666243,0.13258216494475755,0.6295618595218668,13
1,80.0,105.0,0.25,0.05,0.25,grid,0.01,0.35793711448860643,0.13258216494475755,0.22535494954384888,11
2,100.0,100.0,0.5,0.05,0.2,grid,0,7.160112146312146,7.226842443921186,0.06673029760903937,13
2,100.0,100.0,0.5,0.05,0.2,grid,0.0001,7.080774269724978,7.226842443921186,0.14606817419620732,13
2,100.0,100.0,0.5,0.05,0.2,grid,0.001,8.545022367566952,7.226842443921186,1.3181799236457667,17
2,100.0,100.0,0.5,0.05,0.2,grid,0.005,8.592204854873728,7.226842443921186,1.3653624109525424,15
2,100.0,100.0,0.5,0.05,0.2,grid,0.01,10.430636681976548,7.226842443921186,3.2037942380553623,17
3,100.0,90.0,0.75,0.05,0.25,grid,0,17.30219943251579,16.519435192915633,0.7827642396001551,7
3,100.0,90.0,0.75,0.05,0.25,grid,0.0001,16.62467493113639,16.519435192915633,0.1052397382207566,17
3,100.0,90.0,0.75,0.05,0.25,grid,0.001,15.948895121475402,16.519435192915633,0.5705400714402309,15
3,100.0,90.0,0.75,0.05,0.25,grid,0.005,20.298805916301717,16.519435192915633,3.7793707233860836,19
3,100.0,90.0,0.75,0.05,0.25,grid,0.01,18.467163244180334,16.519435192915633,1.9477280512647006,17
4,90.0,110.0,0.25,0.05,0.3,grid,0,0.9271498063872804,0.8745498665031152,0.052599939884165225,11
4,90.0,110.0,0.25,0.05,0.3,grid,0.0001,0.9754985371818988,0.8745498665031152,0.10094867067878366,19
4,90.0,110.0,0.25,0.05,0.3,grid,0.001,1.1284060146317716,0.8745498665031152,0.2538561481286564,11
4,90.0,110.0,0.25,0.05,0.3,grid,0.005,2.6804447555747055,0.8745498665031152,1.8058948890715905,13
4,90.0,110.0,0.25,0.05,0.3,grid,0.01,2.997627522053589,0.8745498665031152,2.123077655550474,13
5,90.0,105.0,0.5,0.05,0.2,grid,0,1.696321251740633,1.630476681738518,0.06584457000211508,11
5,90.0,105.0,0.5,0.05,0.2,grid,0.0001,1.44064489713928,1.630476681738518,0.18983178459923788,11
5,90.0,105.0,0.5,0.05,0.2,grid,0.001,1.6088242285258447,1.630476681738518,0.021652453212673173,11
5,90.0,105.0,0.5,0.05,0.2,grid,0.005,3.0532641558321902,1.630476681738518,1.4227874740936723,13
5,90.0,105.0,0.5,0.05,0.2,grid,0.01,3.4498788418051998,1.630476681738518,1.8194021600666819,13
6,80.0,110.0,1.0,0.05,0.3,grid,0,2.976082961351174,3.032337649270047,0.056254687918873,19
6,80.0,110.0,1.0,0.05,0.3,grid,0.0001,3.0875238649725545,3.032337649270047,0.05518621570250737,11
6,80.0,110.0,1.0,0.05,0.3,grid,0.001,2.657387956878868,3.032337649270047,0.37494969239117903,19
6,80.0,110.0,1.0,0.05,0.3,grid,0.005,6.117623853098375,3.032337649270047,3.085286203828328,13
6,80.0,110.0,1.0,0.05,0.3,grid,0.01,9.117959227584887,3.032337649270047,6.085621578314839,15
7,80.0,100.0,1.0,0.05,0.25,grid,0,3.2625238926929665,3.4546173662462123,0.1920934735532458,13
7,80.0,100.0,1.0,0.05,0.25,grid,0.0001,3.37075022897832,3.4546173662462123,0.0838671372678923,13
7,80.0,100.0,1.0,0.05,0.25,grid,0.001,3.9799449009643526,3.4546173662462123,0.5253275347181403,13
7,80.0,100.0,1.0,0.05,0.25,grid,0.005,8.191059314243638,3.4546173662462123,4.736441947997426,15
7,80.0,100.0,1.0,0.05,0.25,grid,0.01,6.405764800735767,3.4546173662462123,2.9511474344895547,13
8,120.0,105.0,0.75,0.05,0.2,grid,0,20.82726382729383,20.87229580485421,0.04503197756038091,19
8,120.0,105.0,0.75,0.05,0.2,grid,0.0001,20.838369579402883,20.87229580485421,0.03392622545132795,17
8,120.0,105.0,0.75,0.05,0.2,grid,0.001,20.431577172507264,20.87229580485421,0.44071863234694675,17
8,120.0,105.0,0.75,0.05,0.2,grid,0.005,31.812255679145146,20.87229580485421,10.939959874290935,7
8,120.0,105.0,0.75,0.05,0.2,grid,0.01,34.80047096692091,20.87229580485421,13.928175162066701,7
9,80.0,95.0,1.5,0.05,0.2,grid,0,4.68707823558521,4.687353910458874,0.0002756748736647552,13
9,80.0,95.0,1.5,0.05,0.2,grid,0.0001,4.736079695409844,4.687353910458874,0.04872578495096924,13
9,80.0,95.0,1.5,0.05,0.2,grid,0.001,5.263761067019679,4.687353910458874,0.5764071565608049,13
9,80.0,95.0,1.5,0.05,0.2,grid,0.005,6.668899607097169,4.687353910458874,1.9815456966382943,13
9,80.0,95.0,1.5,0.05,0.2,grid,0.01,6.859008939721887,4.687353910458874,2.171655029263013,13
